_content,aera,ans_content,ans_date,date,department,source,url
" 尊******政府领导：
         首先对近几年来社区和行政服务中心的社区工作者工作表示感谢，2018年让我本来对社区办公室没啥好感的我，现在看见社区微信群，只要有社区活动，基本上都参加一下，社区微信群也时常邀请我们去社区食堂，参加完活动吃饭，总之2019越来越幸福了，但愿明年回迁还是住在上城区。","杭州,上城区",该市民的反******已收悉，感谢该市民的反馈，我们将继续再接再厉，******食堂做得更好。,2019/01/24,2019/01/23,上城区紫阳街道,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=4c443230313930303132313536313134
今天下午在杭州市******婺江家园二园  不知哪个派出所（后了解到是文新派出所） 联合光大银行带领社会上的催款放贷公司  以公安局的名义强行带走人民  。口口声声说 是政府的命令 光大银行雇佣了黑社会 进行强行非法拘禁 在杭州的治安净土上还有这种人的存在  是何等的夸张。 在目前杭州的良好治安环境下  警察什么时候可以联合银行联合黑社会对人民进行随意的抓捕和拘禁了？请政府明察  还我大杭州治安 严惩非常搞关系的派出所民警和银行  严惩银行联合黑社会进行违法拘禁,"杭州,上城区","    你反映的情况，杭州市公安局******分局文新派出所已就相关事项与你联系并解释。如有不明，你可直接与文新派出所提出或咨询。文新派出所地址：杭州市西湖区紫******0号；电话：05*****3。
",2019/01/22,2019/01/17,杭州市公安局西湖区分局,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=4c443230313930303039363534353639
女方杭州户口全职太太 个人缴纳社保但没有缴纳生育保险 女方配偶是否可以帮忙报销生育津贴,"杭州,上城区","包肖肖：
     您好，您于2019年1月15日向******信访局反映的拖欠工资的问题，已转送我局。我局工作人员已经与你联系，告知你本人未缴纳生育险的，不能享受生育待遇，配偶不能帮忙享受。感谢对我们工作的支持和理解。
",2019/01/22,2019/01/17,上城区人力社保局,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303232323432323432
养老院 民非企业 排污许可证变更材料及地点,"杭州,上城区",经与投诉人联系，其需变更排污许可证上的法人代表，营业执照已变更好了，问排污许可证如何变更。根据国家环保部有关规定，目前已暂停该类排污许可证的发放和年检工作，故无需再进行变更。如今后需要变更时，另行通知。,2019/01/22,2019/01/22,杭州市环保局上城分局,浙江省政务服务网,http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303238333530373535
"我自2018年10月18日上班至2018年11月20日辞职，至今未发放工资，中间微信联系和电话徐渐老板（电话：181****8261）询问工资发放情况，至今仍未得到回复，实在没办法寻求法律帮助
 试用期签署的是底薪4800元工作1个月零2天 人事帮忙结算工资为：4896元","杭州,上城区","魏小飞：
   您好，您于2019年1月9日向******信访局反映的公司拖欠工资的问题，已转送我局。经查，杭州闺幂日用有限公司处于关门状态，相关负责人目前无法取得联系，我工作人员已告知你相应维权途径，你表示认可。感谢对我们工作的支持和理解。
",2019/01/22,2019/01/11,上城区人力社保局,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303133323133343534
"P2P网红”“互金协会典型”“唯一公开不立案”杭州国鼎文化科技发展股份有限公司（可溯金融）法******陈捷延&  #40;董事长&  #41;、宋军宏&  #40;幕后实控人前CE0&  #41;及其他股东&  #40;刘允标、王平、徐立等&  #41;利用“大量发放赠送无限制使用红包”作为诱饵，布置陷阱，通过客服电话、短信、微信、QQ等多种电信方式诱骗群众，再用假标自融等手段，合谋诈骗13亿元后抽逃资金，瓜分赃款，于2018年7月15日18 时恶意清盘！巨额待收款中只有少部分为真实出借款，可溯现为空壳公司，已无实际偿还能力，总喊着“******联”的口号，发布极不合理霸王条款及兑付方案，就连自己单方发布的没人认可的方案也从不履约，一直都是拒绝核查标的真实情况，拒不公示逾期项目，隐瞒所有借款方真实情况，谎称所有借款人全是老赖，所有标的全部逾期，用虚假老赖名单和虚假的随机兑付名单不断欺瞒受害人，无限拖延时间，暗中转移资产并侍机跑路。上千受害人曾多次聚集当地政府和经侦报案，却都是以平台没跑路和只是违规不违法而拒不立案，懒政不作为！事前一个月的5月23日，还有杭州市金融办主任王越剑、******副区长张军伟、区组织部常务副部长季黄辉、区发改局局长、金融办主任孙锦等一行莅临可溯考察工作。可溯总裁刘栋、副总裁王倩男、党支部书记吴立品等公司主要负责人全程陪同考察，并向各位领导汇报了国鼎股份的党建工作，介绍了可溯金融目前的发展情况。如此行为已间接为可溯接下来的圈钱活动提供了不少支持与方便，理应主动站出来为受害百姓伸张正义，及时追赃免损，可数万受害群众却在杭州当地投诉无门！无法立案！这可溯团伙以集资为名行诈骗之实，肆意掠夺人民财产与法不容!强列要求可溯及股东尽快退还全额本息。
可溯在金融办王越剑和孙锦的主导下发起欺诈威胁性的强制改签合同的阴谋，目的是确权重签协议篡改原始合同！其次才是已停3个月的兑付问题，兑付次序其实根本就不是问题，是可溯故意迷惑我们误导转移诉求的重点目标！我们都有原始借款合同，早就已经确认了债权的，是最有法律效力的文件，根本不需再签合同以外任何协议，为什么还要重签办议新确认权益呢？企图借机篡改合同，并附加严重损害群众利益的不合理条款才是真实目的，是可溯设套把我们推下陷阱！赖帐不还钱，还可逃脱法律责任！10月31日杭州公安上城区分局通报“可溯金融涉非吸案不予立案”，有忽视受害人权益，包庇可溯诈骗老赖宋军宏刘栋等人违法犯罪之嫌疑！","杭州,上城区",可溯金融借委会选举正在有序开展中，借委会成立后将了解平台核心借款企业情况，协助平台与借款企业设定还款计划，监督平台回款账户，力争更好更快回款。政府也希望出借人能积极参与借委会的选举工作，在借委会成立后发挥******优势，在催收等方面给予借委会最大的支持。,2019/01/23,2019/01/22,杭州市上城区人民政府金融工作办公室,国家信访局(含部委),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=32303139303132313338353933
户口在******，实际居住上城区，现怀孕，如何办理生育证，如何在居住地卫生服务所建卡？,"杭州,上城区","您好
您咨询的问题已收悉，现答复如下：
1.生育登记服务卡需到女方户籍所在******办理，也可通过手机下载浙里办APP直接网上办理。
2.围产期保健卡也需先到女方户籍所在地社区卫生服务中心办理。",2019/01/23,2019/01/23,上城区卫生和计划生育局,手机APP,http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303239333234343532
"浙江省政府领导你们好，我是河北省秦皇岛市的80岁的老太太***，我实在没******来求你们，我被杭州市可溯金融平台骗走230万元，我现在已经生活在绝境之中，不得已来找你们要求可溯金融平台按照承诺每个月返还我2%，可溯金融到现在已经6个月没有返还我一分钱了，又不给立案，我无比悲伤。
因为我六年前就做了心脏搭桥手术，现在我每月医疗费就在10000元钱，我爱人也做了心脏瓣膜手术，我们俩双双都是卧床不起，需要人来照顾，每个月花销非常的多，我只投资了可溯金融平台一个月标，没想到他们永远都不给我了，我的230万是我一辈子的积蓄，是我一家人4个手机号投资的总和，全部投给可溯金融平台，现在因为我和我爱人双双病倒，我们现在连医药费都没有，住院也没钱，生活在痛苦的绝境之中，我几乎天天哭泣，我已经心脏病抢救过两次了，恐怕生命也不会有太多的时间了，我现在实在是走投无路，生活上，精神的双重打击使我一病不起，泪水哭干，心情压抑，求政府领导帮助我向可溯金融平台要回一部分救命钱来，我的确非常需要这笔钱来治病和救命，希望你们能帮帮我，我生命已经到了绝境之中，我活着也没有什么意义了，只希望这笔钱要回来一部分，不要让我等到死的那一天也见不到这个钱回来，实在是******义和良心了，人生暮年无限伤感，字字句句百姓血泪而书，求求你们了，多多帮忙，谢谢你们！我手机号是130****1943，183****1132，130****4468，130****3581，4个手机号码投资230万元。			
2019年1月16日  望你们回复一下。","杭州,上城区",可溯金融借委会选举正在有序开展中，借委会成立后将了解平台核心借款企业情况，协助平台与借款企业设定还款计划，监督平台回款账户，力争更好更快回款。政府也希望出借人能积极参与借委会的选举工作，在借委会成立后发挥******优势，在催收等方面给予借委会最大的支持。,2019/01/23,2019/01/22,杭州市上城区人民政府金融工作办公室,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303237353932383130
"信件编号：	LD20*****5 信件编号：	LD20180****70340 
答复时间：	20*****7	答复单位：	浙江省杭州市金融集团
金融集团答复，目前地铁站内开票方式有四种之多，但是地铁客服中心窗口告示、地铁人员给办事群众的开发票的宣传单、以及向地铁站工作人员口头咨询，均告知办事群众必须下载杭州市民卡app，没有其他办法，严重给办事群众带来不便！！！
请有关部门督促市民卡、地铁集团整改","杭州,上城区","您好。首先，感谢客户对我司工作的监督，关于电子发票的工作，大致如下：
     电子发票上线工作，我司是逐步进行开展的。2018年6月底，我司在市民卡APP客户端和市民卡服务网点柜面上线“电子发票”开票方式（同时部分网点有摆放开票自助机进行自助开票）；2018年12月，我司在市民卡微信公众号上线“电子发票”；2019年1月，我司在地铁站“杭州通自助售卡机”上线“扫码开票”。
     因而前期地铁站的关于发票的宣传单页主要针对APP端开票方式进行了宣导；现我司已在做宣传单页的更新，新版单页上同时会对微信公众号的开票方式进行宣传。
    目前，“电子发票”部分工作还在优化中，敬请谅解。后续若有新业务上线，市民可关注市民卡相关公告。 若有问题，亦可直接拨打我司96225市民卡服务热线。",2019/01/23,2019/01/21,浙江省杭州市金融集团,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=4c443230313930303130393431353933
"     各位领导******应该向哪里投诉！在此希望各位领导能关注下此事，7月初，杭州万盈网络科技有限公司P2P车贷平台—银子铺开始逾期，事发50多天，直到8月27日出了兑付方案，方案为两年展期兑付，前期兑付比例很低，头两个月兑付比例为%1，第三四月兑付比例为2%，前一年兑付比例总和不过36%,银子铺已多次失信出借人，从最初的7月20日起每天回款400万处理逾期，到8月6日的方案强制复投85%三个月，但以上2个方案最后并没有执行！！
    中间很多次方案对方都签字按手印过 但都没有如期执行，一直到10月开始到现在1月每次兑付1%，就这么点兑付比例还拖延到最后才兑付，中间以各种理由故意拖延，现在我们非常被动，投诉无门！
    希望金融办各位领导介入监管银子铺，调查银子铺资金去向，督促银子铺按最新方案，不敷衍、不拖延、增加兑付比例！真实的兑付出借人的血汗钱！！","杭州,上城区",银子铺的兑付方案多次变化，兑付进度很不理想，政府相关部门都注意到了，也多次约谈了平台高层，督促平台加快催收进度，目前平台的实控人也感受到压力，我们会继续施加压力，监督平台加快催收进度。,2019/01/23,2019/01/22,杭州市上城区人民政府金融工作办公室,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303237353834373931
"关于个税申报有两个问题咨询：
1-岳父岳母的赡养怎么扣除，比如我老婆无工作，那么岳父母也是由我赡养，这个按理也应该扣除，在政策上怎么实现？
2-我买房了，有房贷，但是还未交房，现在还是租房，那么我是否可以先进行租金专项扣除，等到我不租房了，再申请贷款利息专项扣除？
3-我妹妹没有工作，那么父母都是我赡养的，这个在APP中无法操作成由我一个人赡养的形式？","杭州,上城区",1.赡养扣除只能是赡养自己的父母，岳父母不符合专项附加扣除条件。2.反映人在主要工作城市有房，虽未交付也不能扣除住房租金，而只能扣除住房贷款利息。3.反映人非独生子女，赡养父母费用每月最多只能税前扣除1000元。,2019/01/16,2019/01/15,国家税务总局杭州市上城区税务局,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303138303235323730
     其是************居民，反映近期环卫工人在清理皮市巷8号东面垃圾站时，总会将污水和垃圾遗留在其门店（佑万家便利店）前，严重环境污染，影响市容，希望相关部门帮助处理。,"杭州,上城区","你好！你于2019年1月15日向杭州市12345反映的事项，现处理答复如下：你于2019年1月15日反映“环卫工人清扫时有污水遗留在便利店门口”的事项，接此投诉后，我局环卫市容监管科经调查核实，确认该处保洁单位是天禹物业公司，环卫科工作人员于1月15日下午3时左右与您联系，您表示保洁员在******石时有污水溅到您店铺门口的台阶上，现要求把台阶弄干净就可以，现环卫工人已把台阶清理干净，并且后续会加强管理，您对此表示满意。
",2019/01/16,2019/01/15,上城区城市管理局,地市业务接口,http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=485a5344483230313930313230373136
中网国投单方面不合利清盘，谁来管管，杭州就任由中网国投胡作非为,"杭州,上城区","你好！中网国投目前处于清盘阶******金融办一直密切关注、跟踪中网国投的清盘行为，保障出借人与平台畅通的******，出借人可就相关诉求提交区金融办，区金融办将及时予以转达，积极从中斡旋协调，并支持合理诉求。同时我办希望出借人理性维权，依法保护自身合法权益。
",2019/01/17,2019/01/17,杭州市上城区人民政府金融工作办公室,浙江省政务服务网,http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303232343636313834
你好，请问下企业要新增员工社保，每个月申请的截止日期是几号呢？谢谢,"杭州,上城区","徐海荣：
     您好，您于2019年1月14日向******信访局咨询的社保新增办理的问题，已转送我局。现告知你截止时间为：窗口办理为每月12日，网上办理为每月17日，感谢对我们工作的支持和理解。
",2019/01/17,2019/01/16,上城区人力社保局,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303231333635313131
"2019年1月8日，账号主体为“杭州市************社区卫生服务中心”的微信公众号 “健康湖滨健康大家”发布“九价HPV疫苗预约及接种通知”。社区将于1月9日开放上午半天进行“九价HPV疫苗”预约，同时提供现场和电话预约两种方式，限预约300人。
2019年1月9日上午，不少市民在选择进行电话预约时，发现预约电话始终无法接通，长时间处于忙音状态，部分被接起后又被迅速挂断。同时在现场预约的市民发现，服务中心的预约电话被故意搁起，而医生却在没有接听任何预约电话的情况下，不停地填写预约登记表。
《突发公共卫生事件应急条例》第五十条第（四）项，医疗卫生机构有下列行为的，由卫生行政主管部门责令改正、通报批评、给予警告；情节严重的，吊销《医疗机构执业许可证》：（四）拒绝接诊病人的。
《中华人民共和国执业医师法》第三十七条第（十）项，医师在执业活动中，违反本法规定，有下列行为之一的******级以上人民政府卫生行政部门给予警告或者责令暂停六个月以上一年以下执业活动；情节严重的，吊销其执业证书；构成犯罪的，依法追究刑事责任：(十)利用职务之便，索取、非法收受患者财物或者牟取其他不正当利益的。
恳请市卫生和计划生育委员会对此进行调查。
","杭州,上城区","您好！
您反映的问题已收悉，现回复如下: 
1.电话挂空原因：预约当天，现场预约和电话预约同时进行，预约开始后，现场预约人员对电话预约人员排号顺序存有较大意见，现场出现骚动和排队次序混乱的状况。现场工作人员为了稳定现场排队人员的情绪，维持排队秩序，故暂时停止了电话预约，随后马上恢复正常的电话预约。
2.***********卫生服务中心已对涉事人员进行处理，下一步将加强疫苗接种日常监管力度，坚决杜绝类似事件再次发生。
联系电话：87*****3
",2019/01/17,2019/01/11,上城区卫生和计划生育局,浙江省政务服务网,http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303134393531353033
"2019年1月9日早上八点电话预约HPV疫苗，电话一直处于正在通话中，视频显示工作人员一直把电话搁在旁边，导致电话******一直打不进电话。
希望能够彻查此事，给大家一个公平预约的机会，谢谢
","杭州,上城区","您好！
您反映的问题已收悉，现回复如下: 
1.电话挂空原因：预约当天，现场预约和电话预约同时进行，预约开始后，现场预约人员对电话预约人员排号顺序存有较大意见，现场出现骚动和排队次序混乱的状况。现场工作人员为了稳定现场排队人员的情绪，维持排队秩序，故暂时停止了电话预约，随后马上恢复正常的电话预约。
2.***********卫生服务中心已对涉事人员进行处理，下一步将加强疫苗接种日常监管力度，坚决杜绝类似事件再次发生。
联系电话：87*****3",2019/01/17,2019/01/11,上城区卫生和计划生育局,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=57583230313930303134393536383333
"  尊敬的领导：
现在五水共治，美化环境******很多村民多次向村领导反应，答应需要改造。河坎不整齐。村民出行不便。但几年内还没有处理。
现在正好河底清理，也是一个机会。所以向领导反应一下情况。望能得到回复","杭州,上城区",你（联系电话138****8068，地址：浙江省绍兴市************）于2018年12月27日，向浙江省环保厅反映要求对************西洋畈西溇底砌齐河坎的有关信访事项。,2019-01-18,2018/12/27,柯桥区安昌街道,浙江省统一政务咨询投诉举报平台(网上大厅),http://www.zjzxts.gov.cn/wsdt/wsdtHtml/xfjxq.jsp?id=4c443230313830313635353033313937
